1	  i repeat  this is an officer from the internal revenue services we have been trying to reach you this call is an official final notice call from internal revenue services the reason for the call is to inform you that we have filed lawsuit against you  for more information call immediately our department  number  i repeat 
1	under custody by the local cops as there are four serious allegations pressed on your name at this moment  we would request you to get back to us so that we can discuss about this case before taking any legal action against you the number to reach us is   i repeat  thank you 
1	you one last courtesy call to let you know that based on our record the factory warranty has expired on  your vehicle is that right fantastic so your vehicle is actually still eligible for vehicle warranty protection let me get a specialist to explain your available options please hold thanks for holding all of oour coverage specialists are presently busy helping other customers please stay on the line to maintin your call priority do you hate suprise expenses especially costly auto repairs will the cost of replacing a pricey electrical part or air conditioner or transmission bust your monthly budget all of our agents are still assisting other clients if you would like to continue holding press  now if you would like a callback as soon as the agents available press  now
1	hey its rachel um i still have the two hundred and fifty thousand dollar business line of credit preapproved for you i really just wanna connect for a few minutes um understand what your growth plans are as we near the end of the third quarter and start gearing up for the fall season um and just understand if theres anything i can do to help your business out uh give me a call i can be reached at  or you can give me a call back on the number that popped up on your phone  um i should be around all day and uh i hope to hear back from you  thanks
1	so your vehicle is actually still eligible for vehicle warranty protection let me get you a specialist to explain your available options please hold thanks for holding all of our coverage specialists are presently busy helping other customers  please stay on the line to maintain your call priority  do you hate suprise expenses especially costly auto repairs will the cost of replacing a pricey electrical part or air conditioner or transmission bust your monthly budget
1	select you to receive one hundred dollars gift card  if you want to receive it please press  or to decline press 
1	feel free to sign up  we have preapprovals ready in your area including signa blue cross aetna united and many more  press  to get a hasslefree assessment or press  to be placed on our do not call list  thanks for your time and be healthy and blessed
1	blue cross aetna united and many more press  now to get a hasslefree assessment or press  to be placed on our do not call list  thank you and as always be happy and blessed
1	plans from every a plus health care provider  press  to speak to a live agent  or press  to be placed on our do not call list
1	notification regarding your tax filings from the headquarters which will get expired in the next  working hours and once it get expired after that you will be taken into custudy by local police as there are four serious allegations pressed on your name at this moment we would request you to get back to us so that we can discuss about this case before taking any legal action against you the number to reach us is  i repeat  thank you
1	hello this is michigan medicine calling to remind cassandra of your appointment on wednesday march th at  pm at univeristy health service floor  parking is available on on the upper levels of the fletcher street parking structure located next to uhs please allow additional time for parking if you need additional information or would like to cancel or reschedule this appointment please call  during regular business hours for maps directions and construction alerts go to our website uofmhealthorg and select maps and directions thank you
1	hey its rachel um i still have the two hundred and fifty thousand dollar business line of credit preapproved for you i really just wanna connect for a few minutes um understand what your growth plans are as we near the end of the third quarter and start gearing up for the fall season um and just understand if theres anything i can do to help your business out uh give me a call i can be reached at  or you can give me a call back on the number that popped up on your phone  um i should be around all day and uh i hope to hear back from you  thanks
1	hey richard this is satam calling from thumbtac sorry im three minutes late if this is still a good time give me a call back  thanks
1	yes this is uh marry ann robinsson and uh this message is concenering your unsecured credit debt uh i need to discuss your consolidation or uh repayment options with the new changes that have taken effect uh please be sure to give me a call back at  uh if you could have your reference number handy thats  and thank you
1	we have been trying to reach you this call is officially a final call notice from irs internal revenue service the reason of this call is to inform you that irs is filing a lawsuit against you to get more information about this case file please call immediately on our department number  i repeat  thank you
1	hey its rachel im actually just following up on that two hundred and fifty thousand dollar business line of credit preapproved for you its the end of second quarter and really im just calling to find out if you have any growth plans for this summer give me a call lets go over the rate and terms um you can call me back at the number that popped up on your caller id or you can reach me directly at  uh really look forward to hearing from you
1	never got response from you so it has been considered as an intentional flaw and lawsuit has been filed under your name by united states government you may call our department number on to  i repeat its  thank you
1	hi  id like to leave a comment for senator toomey  my name is ryan epp and im a voter from lititz  my zip code is   id like to request that senator toomey hold an inperson town hall  i appreciate the teletown halls and the other ways youve made himself available  however i dont believe these are suitable substitutes  i think have a public inperson dialogue would be beneficial for both senator toomey and his constituents  thank you for your time
1	hello this is the poly clinic  this call is being recorded for quality assurance purposes only  thank you  goodbye
1	for lowering your interest rate to as little as six point nine percent your eligibility expires shortly so please consider this your final notice  please press one now on your phone to speak with a live operator and lower your interest rate  or press two to discontinue further notices  thank you had have a great day
1	to refuse this call hang up or press  one  to prevent calls from this facility press    hello this is a call from  benny  an inmate at the berrien county jail  to hear your payment options press  zero  to refuse this call hang up or press  one  to prevent calls from this facility press    your call was not accepted  please try again later
1	hello we have been trying to reach you about your cars limited time waranty if you would like to purchase a waranty for your car at little cost to you please press  to be connected to a specialist
1	hello do not hang up this is not a sales call we are calling to let you know about a limited time offer fo
