0	
0	go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat
0	k lar joking wif u oni
1	ree entry in  a wkly comp to win fa cup final tkts st may  text fa to  to receive entry questionstd txt ratetcs apply overs
0	 dun say so early hor u c already then say
0	nah i dont think he goes to usf he lives around here though
1	freemsg hey there darling its been  weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send  to rcv
0	ven my brother is not like to speak with me they treat me like aids patent
0	s per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune
1	inner as a valued network customer you have been selected to receivea  prize reward to claim call  claim code kl valid  hours only
1	ad your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 
0	im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today
1	six chances to win cash from  to  pounds txt csh and send to  cost pday days  tsandcs apply reply hl  info
1	urgent you have won a  week free membership in our  prize jackpot txt the word claim to no  tc wwwdbuknet lccltd pobox ldnwarw
0	ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
0	 have a date on sunday with will
1	xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0	h kim watching here
0	h u remember how  spell his name yes i did he v naughty make until i v wet
0	ine if thats the way u feel thats the way its gota b
1	england v macedonia  dont miss the goalsteam news txt ur national team to  eg england to  trywales scotland txt poboxoxwwq 
0	s that seriously how you spell his name
0	m going to try for  months ha ha only joking
0	o  pay first lar then when is da stock comin
0	ft i finish my lunch then i go str down lor ard  smth lor u finish ur lunch already
0	fffffffff alright no way i can meet up with you sooner
0	ust forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol
0	ol your always so convincing
0	id you catch the bus  are you frying an egg  did you make a tea are you eating your moms left over dinner  do you feel my love 
0	im back amp were packing the car now ill let you know if theres room
0	hhh work i vaguely remember that what does it feel like lol
0	wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us
0	eah he got in at  and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till  but we wont go there not doing too badly cheers you 
0	 tell me anything about you
0	or fear of fainting with the of all that housework you just did quick have a cuppa
1	hanks for your subscription to ringtone uk your mobile will be charged month please confirm by replying yes or no if you reply no you will not be charged
0	up ok i go home look at the timings then i msg  again xuhui going to learn on nd may too but her lesson is at am
0	oops ill let you know when my roommates done
0	 see the letter b on my car
0	nything lor u decide
0	ello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything
0	ls go ahead with watts i just wanted to be sure do have a great weekend abiola
0	did i forget to tell you  i want you  i need you i crave you  but most of all  i love you my sweet arabian steed  mmmmmm  yummy
1	  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now  for delivery tomorrow
0	ho are you seeing
0	reat i hope you like your man well endowed i am  ltgt  inches
0	o callsmessagesmissed calls
0	idnt you get hep b immunisation in nigeria
0	fair enough anything going on
0	yeah hopefully if tyler cant do it i could maybe ask around a bit
0	 dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers
0	hat you thinked about me first time you saw me in class
0	a gram usually runs like  ltgt  a half eighth is smarter though and gets you almost a whole second gram for  ltgt
0	 fyi x has a ride early tomorrow morning but hes crashing at our place tonight
0	wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing
1	ms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv
0	o you know what mallika sherawat did yesterday find out now   lturlgt
1	congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out 
0	sorry ill call later in meeting
0	ell where you reached
0	esgauti and sehwag out of odi series
0	our gonna have to pick up a  burger for yourself on your way home i cant even move pain is killing me
0	a ha ha good joke girls are situation seekers
0	ts a part of checking iq
0	sorry my roommates took forever it ok if i come by now
0	k lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
1	as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a  bonus prize call 
0	today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me
1	urgent ur awarded a complimentary trip to eurodisinc trav acoentry or  to claim txt dis to  morefrmmob shracomorsglsuplt ls aj
1	did you hear about the new divorce barbie it comes with all of kens stuff
0	 plane to give on this month end
0	ah lucky man then can save money hee
0	inished class where are you
0	i babe im at home now wanna do something xx
0	kwhere are youhow did you performed
0	 can call me now
0	 am waiting machan call me once you free
0	hats cool i am a gentleman and will treat you with dignity and respect
0	 like you peoples very much but am very shy pa
0	oes not operate after  ltgt  or what
0	ts not the same here still looking for a job how much do tas earn there
0	sorry ill call later
0	 did you call me just now ah 
0	k i am on the way to home hi hi
0	ou will be in the place of that man
0	up next stop
0	i call you later dont have network if urgnt sms me
0	or real when u getting on yo i only need  more tickets and one more jacket and im done i already used all my multis
0	es i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros
0	m really not up to it still tonight babe
0	ela kanoil download come wen ur free
0	eah do dont stand to close tho youll catch something
0	orry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry 
0	mile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling
1	lease call our customer service representative on    between ampm as you have won a guaranteed  cash or  prize
0	avent planning to buy later i check already lido only got  show in e afternoon u finish work already
1	your free ringtone is waiting to be collected simply text the password mix to  to verify get usher and britney fml po box  mk h ppw 
0	atching telugu moviewat abt u
0	 see when we finish we have loads of loans to pay
0	hi wk been ok  on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u
0	
0	lease dont text me anymore i have nothing else to say
0	kay name ur price as long as its legal wen can i pick them up y u ave x ams xx
0	m still looking for a car to buy and have not gone the driving test yet
0	s per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press  to copy your friends callertune
0	wow youre right i didnt mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston
0	mma my life and vava umma love you lot dear
0	hanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable
0	aight ill hit you up when i get some cash
0	ow would my ip address test that considering my computer isnt a minecraft server
0	 know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes
0	ont worry i guess hes busy
0	hat is the plural of the noun research
0	oing for dinnermsg you after
0	m ok wif it cos i like  try new things but i scared u dun like mah cos u said not too loud
1	ent we are trying to contact you last weekends draw shows that you won a  prize guaranteed call  claim code k valid hrs only ppm
0	wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin on weighthaha so anythin special happened
0	as i entered my cabin my pa said  happy bday boss  i felt special she askd me  lunch after lunch she invited me to her apartment we went there
1	ou are a winner u have been specially selected  receive  or a  holiday flights inc speak to a live operator  claim pmin  
0	oodo yes we must speak friday  eggpotato ratio for tortilla needed 
0	mmmy uncle just informed me that hes paying the school directly so pls buy food
1	rivate your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires
1	urgent your mobile no was awarded  bonus caller prize on  this is our final try to contact u call from landline  boxwrc ppm
0	ere is my new address applespairsall that malarky
1	odays voda numbers ending  are selected to receive a  award if you have a match please call  quoting claim code  standard rates app
0	 am going to sao mu today will be done only at  
0	 predict wat time ll finish buying
0	good stuff will do
0	just so that you knowyetunde hasnt sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i shouldnt have imposed anything on you in the first place so for that i apologise
0	re you there in room
0	ey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
0	khow much does it cost
0	m home
0	dear will call tmorrowpls accomodate
0	irst answer my question
1	unshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to   sptyrone
